id,x,y,cluster
2,30463.693696591654,33451.89221666079,0
2,30461.686598185253,33455.88963112359,0
2,30453.68733979893,33456.93789139493,0
2,30458.4151162482,33458.18209220719,0
2,30455.957840393403,33460.86927380471,0
2,30455.579154151506,33465.65612929536,0
2,30454.555994704355,33470.26676407359,0
2,30452.888362051955,33474.70117813938,0
3,30380.331836344383,33197.17149809173,8
3,30385.357243546405,33198.93591107491,8
3,30390.178494302905,33200.889310344966,8
8,29900.621319933398,32879.41310921221,4
8,29904.260214723967,32880.02765859573,9
8,29908.559072966505,32880.78733190191,9
8,29913.517894661003,32881.69212913076,9
9,30663.47580963573,33462.10765483896,4
9,30663.874427320003,33467.04621202209,4
9,30663.894229854704,33471.984968804885,4
11,30130.62430199283,33793.429207753135,5
11,30144.556401414105,33796.334906168435,5
11,30126.671587898254,33797.153442473435,5
11,30140.930830375855,33800.06319427423,5
11,30137.290501870655,33803.79354853734,5
11,30134.1890072222,33806.98684567027,5
11,30131.62634643049,33809.64308567303,5
17,29890.23583441157,32939.06734380652,8
17,29895.256106366876,32940.27636395859,8
17,29901.60715121193,32942.18936566218,8
19,29901.60715121193,32942.18936566218,8
19,29908.10330689418,32943.54996734904,8
19,29914.74457341363,32944.358169019135,8
19,29920.716800999206,32945.269039939434,8
20,30333.423215733754,32617.958259202038,8
20,30334.038286995954,32622.673338853987,8
20,30334.053177177557,32627.702199244384,8
20,30333.86882697628,32632.836971015815,8
23,30774.105429285904,33379.59583658859,9
23,30769.052884260782,33379.658393629565,9
23,30779.030068676406,33379.745560207986,9
23,30763.872433601027,33379.93323133091,9
23,30783.937499016854,33380.235440432414,9
23,30758.83711893488,33380.321908556136,9
23,30828.999738308907,33380.683090132436,9
23,30823.848781815002,33380.81540890854,9
23,30753.94694026233,33380.82442530524,9
23,30818.78146239768,33380.94527147674,9
23,30749.071525396757,33381.45141412544,9
23,30788.827720307254,33381.06547726186,9
23,30813.797780056928,33381.07267783704,9
23,30808.782121125405,33381.19829035639,9
23,30803.734485603105,33381.32210903479,9
23,30798.72620861958,33381.40813769964,9
23,30793.757290174828,33381.456376350936,9
29,30034.795192535956,32981.62799711331,8
34,30449.509092786357,33494.08082440266,0
38,30632.33111190898,33629.06403158016,0
38,30630.59458430743,33633.57411033131,0
38,30627.93561377008,33637.81861070533,4
38,30624.35420029693,33641.79753270224,4
38,30620.71377194133,33646.56966053946,0
38,30613.182005937204,33655.73969863914,8
38,30616.60283376517,33656.74821680055,8
38,30619.479287127004,33660.40932829009,8
38,30622.355740488838,33664.07043977962,8
38,30664.910062357256,33664.860258768334,8
38,30660.064261528056,33667.94484972344,8
38,30629.6460173609,33670.35173660184,8
38,30656.342638655555,33672.30225080649,8
38,30634.52885846228,33673.31721859419,8
38,30653.454881704456,33675.86595892467,8
38,30640.39317387093,33676.28102186059,8
38,30650.276812718053,33677.36316395001,8
38,30646.006554900057,33677.937344978236,8
38,30643.104007350656,33680.17640614034,8
38,30641.323214438456,33685.18109956624,8
38,30638.204277063254,33690.36352112494,8
38,30635.154205594205,33695.14417596434,8
38,30632.173000031304,33699.52306408444,8
38,30629.66161044113,33703.41483671931,8
38,30625.744650566805,33667.38457588354,8
38,30627.62003682368,33706.81949386896,8
38,30625.081583038103,33710.42473120528,8
38,30622.046249084407,33714.23054872829,8
38,30596.92408054643,33716.213633711486,9
38,30618.07372570948,33718.20784051219,8
38,30601.05666952438,33719.43258184849,9
38,30605.019512138828,33721.88928933258,9
38,30613.16401291333,33722.35660655698,0
38,30608.81260838978,33723.58375616379,0
38,30558.705167146854,33690.580683638065,4
38,30563.42071886873,33693.60843803799,4
38,30568.00590128608,33696.627055675184,4
38,30572.335259112704,33699.47512340211,4
38,30576.408792348608,33702.15264121877,4
38,30580.39869155848,33704.78911796701,4
38,30584.30495674233,33707.384553646865,9
38,30588.408013515054,33710.16274352584,9
38,30592.707861876654,33713.12368760393,9
50,30340.254396369004,32724.959432019314,9
50,30345.98326300443,32725.330029142016,9
50,30350.79462791678,32725.654461771657,9
50,30329.676329816182,32688.18959025076,8
50,30329.38620300343,32693.101654356913,8
50,30329.06081784254,32697.961211014255,9
50,30328.700174333506,32702.768260222787,8
50,30328.339530824473,32707.57530943132,8
50,30333.608028010505,32724.542670403564,9
50,30327.436415728855,32724.678690165834,9
50,30321.90189818733,32725.024573724513,9
