id,maxHeight,totalGFA,residentialGFA,commercialGFA,civicGFA,otherGFA,siteCoverage,footprintArea,siteArea
0,8,74.00695955238221,74.00695955238221,0.0,0.0,0.0,0.34907136425107615,27.752609831185545,79.50411484118175
1,8,853.6518087845305,853.6518087845305,0.0,0.0,0.0,0.5012589592958614,320.1194282913803,638.6308361272283
2,9,1980.947679099208,1980.947679099208,0.0,0.0,0.0,0.46297218357516223,667.1515795002257,1441.0187116391098
3,21,5676.8986936008505,5676.8986936008505,0.0,0.0,0.0,0.5386417755558776,2277.412420743101,4228.06496654073
4,20,2216.1518626642246,2216.1518626642246,0.0,0.0,0.0,0.3765434666012509,453.35738612988695,1203.9974832705832
5,18,1453.2409220536802,1453.2409220536802,0.0,0.0,0.0,0.413162553155253,382.8533679854344,926.6410158947066
6,42,2114.7603659389333,2114.7603659389333,0.0,0.0,0.0,0.5171555237436584,212.64151900810117,411.1751866610681
7,14,81.05855407215853,81.05855407215853,0.0,0.0,0.0,0.6923948543900921,17.36969015835558,25.08639405423654
8,11,855.9830049243153,855.9830049243153,0.0,0.0,0.0,0.38276206087648923,233.44991043502768,609.9086986323808
9,18,5729.476170859004,5729.476170859004,0.0,0.0,0.0,0.6439626596861845,1055.2846715585742,1638.7358112857582
10,22,932.6556709738065,932.6556709738065,0.0,0.0,0.0,0.6211945301126087,288.855404254899,464.9999158919444
11,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.35731121276
12,10,6.59146858487931,6.59146858487931,0.0,0.0,0.0,0.01861116680179415,1.1381438495534417,61.15381489374017
13,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08534149891693725
14,10,188.77831826431049,188.77831826431049,0.0,0.0,0.0,0.2831751659275359,56.63349547930783,199.99456977028933
15,14,365.63515755497207,365.63515755497207,0.0,0.0,0.0,0.4417048520574449,134.13995342631358,303.68684609529333
16,11,91.8937642400081,91.8937642400081,0.0,0.0,0.0,0.38245756334214354,27.512207823616325,71.93532161633347
17,11,954.7211779429919,954.7211779429919,0.0,0.0,0.0,0.4082755711464418,284.65215301227244,697.2059391478319
18,12,8786.131260022685,8786.131260022685,0.0,0.0,0.0,0.7283409977350017,2610.698772970331,3584.445721288647
19,11,2980.25482302063,2980.25482302063,0.0,0.0,0.0,0.5794671165926292,814.1480672997494,1404.994423302372
20,18,7221.438307353876,7221.438307353876,0.0,0.0,0.0,0.6255084591159968,1355.956100723683,2167.7662083738965
21,17,11868.609262399921,11868.609262399921,0.0,0.0,0.0,0.5844929934698134,3355.0344632064002,5740.076443499187
22,17,6067.936064114789,6067.936064114789,0.0,0.0,0.0,0.6352284959873965,1770.8566202382865,2787.7474506014946
23,16,15920.791693693354,15920.791693693354,0.0,0.0,0.0,0.5651122447385108,3586.685674430929,6346.855350994142
24,11,1299.2168233926852,1299.2168233926852,0.0,0.0,0.0,0.4886104995564221,377.48855508513117,772.5756106916012
25,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.5057087127092
26,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.7305641332575
27,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.826520411501992
28,10,100.42650033519773,100.42650033519773,0.0,0.0,0.0,1.0000000000000002,44.007937702739326,44.00793770273932
29,16,2393.248361793881,2393.248361793881,0.0,0.0,0.0,0.295382033868537,472.27419347006014,1598.8588990495302
30,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.606068767073375
31,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.65354685878103
32,11,368.2919831455739,368.2919831455739,0.0,0.0,0.0,0.7409210901934169,100.44326812662185,135.56540562288652
33,9,197.98283254274673,197.98283254274673,0.0,0.0,0.0,0.7450781168860691,65.99427751791396,88.57363546486393
34,10,1750.1115036313718,1750.1115036313718,0.0,0.0,0.0,0.7003704705650301,588.3741852310202,840.0899380528481
35,14,0.9767163356781117,0.9767163356781117,0.0,0.0,0.0,0.003798966933808624,0.2693855167859628,70.91020308405066
36,13,2174.1846440830623,2174.1846440830623,0.0,0.0,0.0,0.8139012313816801,501.7349178621908,616.4567622172591
37,6,684.5865256059848,684.5865256059848,0.0,0.0,0.0,0.9999999999979147,82.66709107863421,82.6670910788066
38,17,31382.94196071905,31382.94196071905,0.0,0.0,0.0,0.4875800992425103,6363.207050323528,13050.588119181268
39,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8386914002755892
40,9,57.522667859828616,57.522667859828616,0.0,0.0,0.0,0.8911032804290928,19.174222619974955,21.517396514062877
41,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58890960928843
42,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.6064439600336
43,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.959878716489094
44,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.49589485718041
45,9,4.3534355787275505,4.3534355787275505,0.0,0.0,0.0,1.0000000000000002,1.4511451929091834,1.4511451929091832
46,20,30.24731442879866,0.0,0.0,30.24731442879866,0.0,0.9999999999999999,5.894852455229536,5.894852455229537
47,9,503.55900019089387,503.55900019089387,0.0,0.0,0.0,0.7974082609952102,167.85300006534302,210.4981955615221
48,33,1144.574712797983,1144.574712797983,0.0,0.0,0.0,0.405011495944349,272.75652188705243,673.4537775306279
49,8,529.8701151938722,529.8701151938722,0.0,0.0,0.0,0.550249586369253,198.70129320043037,361.1112086635699
50,15,6031.171369975931,4830.540074707517,1056.8477955507833,143.78349971763072,0.0,0.4094236410927369,1679.983151682828,4103.288093474558
51,10,561.0775062826785,561.0775062826785,0.0,0.0,0.0,0.8033497033701786,199.9413696497303,248.8846000825602
52,11,1.0915084055906523,1.0915084055906523,0.0,0.0,0.0,0.9999999999999998,0.29768411061502104,0.2976841106150211
53,11,4194.184485676497,4194.184485676497,0.0,0.0,0.0,0.673003308103935,1143.8684961095232,1699.647657501366
54,11,8746.043598367818,8746.043598367818,0.0,0.0,0.0,0.5490806015764585,2385.284617753304,4344.1429380403215
55,19.0,1552.468307485802,7.010799915467346,1.3145233014494022,1544.1429842688851,0.0,0.6376001177814341,290.84133426578825,456.1500635818375
56,16,402.75745758247575,402.75745758247575,0.0,0.0,0.0,0.5121089151173633,75.5170232967025,147.46281712240017
57,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.92211545256032
58,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.668559910695588
59,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.56545554837373
60,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.86557006534519
61,8,1018.5914453119767,1018.5914453119767,0.0,0.0,0.0,0.7909416565920514,381.971791990922,482.9329556831444
