id,residential_gfa,commercial_gfa,civic_gfa,other_gfa,site_coverage,max_height
kml_106232,127231.982101,54527.992329,0,0,0.7,100
kml_102849,324263.619332,138970.122571,0,0,0.7,100
kml_102848,1246363.55961,534155.811262,0,0,0.7,100
