id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
19,21186.753399296525_36062.033983241,21186.753399296525,36062.033983241,28096.521778868497,37821.20277468454,6909.768379571971,1759.1687914435388,5.601067494324588
20,21593.67443370205_36014.8792148263,21593.67443370205,36014.8792148263,28098.559447386928,37825.80212511613,6504.885013684878,1810.9229102898316,1.0160578981882054
21,20769.993939299224_36176.290270293655,20769.993939299224,36176.290270293655,28100.582350388784,37830.4173838595,7330.58841108956,1654.1271135658462,1.7299132646277005
22,21481.857541967103_35819.525489416425,21481.857541967103,35819.525489416425,28102.580644056736,37834.96753671455,6620.723102089632,2015.442047298122,3.6984683695285856
23,20496.936928262476_35807.513762101946,20496.936928262476,35807.513762101946,28104.554328390786,37839.45258368127,7607.617400128311,2031.9388215793224,2.3272265918850072
24,21389.091857962878_35370.937066622275,21389.091857962878,35370.937066622275,28107.278657206487,37710.139723987544,6718.186799243609,2339.2026573652693,5.385635179051733
25,21202.456516057027_35548.2826087626,21202.456516057027,35548.2826087626,28110.28102612799,37707.26316372682,6907.824510070961,2158.9805549642188,3.4834444087946
26,20824.52393628355_35586.904132613796,20824.52393628355,35586.904132613796,28113.89617396934,37705.57931583529,7289.372237685791,2118.675183221494,3.4055264998876114
27,21304.6557756798_35633.32939983675,21304.6557756798,35633.32939983675,28114.292322175548,37862.223350898224,6809.636546495749,2228.8939510614728,3.050239301276248
28,21332.01866768975_36008.73048515493,21332.01866768975,36008.73048515493,28115.768894907218,37865.61321067595,6783.750227217468,1856.88272552102,0.25047881949239664
29,20723.568640783124_35452.14502815713,20723.568640783124,35452.14502815713,28117.24546763889,37869.00307045366,7393.676826855768,2416.8580422965315,1.1727438909091434
30,21696.328059534826_35753.68485956347,21696.328059534826,35753.68485956347,28118.124100730536,37705.08818031293,6421.79604119571,1951.4033207494576,0.4116096305132229
31,20824.294516213475_36215.506585271025,20824.294516213475,36215.506585271025,28119.00751128009,37873.07676392737,7294.712995066617,1657.570178656344,1.3281034572231176
32,21191.6497315755_36210.19694261748,21191.6497315755,36210.19694261748,28121.055025830818,37877.83429109708,6929.405294255317,1667.6373484796059,3.127222049081496
33,21435.865763510927_36054.005440330526,21435.865763510927,36054.005440330526,28121.391434627603,37703.198736281964,6685.525671116677,1649.193295951438,3.19088997399454
34,20581.05949723265_36333.5834199489,20581.05949723265,36333.5834199489,28123.092696764266,37882.53849062053,7542.0331995316155,1548.9550706716254,4.032381093001595
35,20532.28959898245_35768.70836508885,20532.28959898245,35768.70836508885,28123.69817566053,37699.91098374238,7591.408576678081,1931.2026186535295,0.26685224486692943
36,21683.705937586874_35743.17064626043,21683.705937586874,35743.17064626043,28125.120524080437,37887.18936249773,6441.414586493564,2144.018716237304,2.1319267462449076
37,21322.7028702684_35595.0882962982,21322.7028702684,35595.0882962982,28126.00491669346,37696.6232312028,6803.3020464250585,2101.534934904601,5.91415692293346
38,20751.958211688125_36242.38019475182,20751.958211688125,36242.38019475182,28135.108725356356,37909.74137126617,7383.150513668232,1667.3611765143505,0.40646549049747255
39,21080.835770222475_35878.71135272668,21080.835770222475,35878.71135272668,28136.95280253696,37913.95171964815,7056.117032314483,2035.240366921469,0.45883038507274804
40,20970.560446557276_35235.872617900626,20970.560446557276,35235.872617900626,28138.79687971756,37918.16206803013,7168.236433160284,2682.2894501295013,3.1413513676419735
41,21489.304691629426_35760.84863754797,21489.304691629426,35760.84863754797,28140.70330133955,37922.555296593586,6651.398609710122,2161.706659045616,4.780796791741871
42,21039.59376958345_36046.2338464525,21039.59376958345,36046.2338464525,28142.672067402913,37927.131405338514,7103.078297819462,1880.8975588860121,6.282020836626963
43,20688.950845245276_35212.24160328793,20688.950845245276,35212.24160328793,28144.365206347364,37931.11721933994,7455.414361102088,2718.8756160520134,0.3696069356262881
44,20755.791757402_35270.123958279975,20755.791757402,35270.123958279975,28145.782718172897,37934.51273859785,7389.990960770898,2664.388780317873,6.097035229308487
45,20503.529177334625_35724.3448213917,20503.529177334625,35724.3448213917,28147.062553063453,37685.73559399459,7643.533375728828,1961.390772602892,0.17438213057509688
46,21746.53276130464_35674.43371214517,21746.53276130464,35674.43371214517,28147.20022999843,37937.90825785576,6400.667468693791,2263.474545710589,6.247181330415446
47,20780.036705361625_35508.1654643857,20780.036705361625,35508.1654643857,28148.599694966975,37941.210288439346,7368.562989605351,2433.04482405365,5.720742762060633
48,20702.040476718626_35165.3360315522,20702.040476718626,35165.3360315522,28149.98111307853,37944.4188303486,7447.940636359905,2779.0827987964003,3.920607935064441
49,21168.5888769631_35626.73281399258,21168.5888769631,35626.73281399258,28151.039471649412,37685.298645879084,6982.450594686314,2058.5658318865026,5.945910408728222
50,21474.914614376576_35670.06595758775,21474.914614376576,35670.06595758775,28151.36253119009,37947.62737225786,6676.447916813515,2277.561414670112,4.1455839718903915
51,21423.383283130148_36112.4086864283,21423.383283130148,36112.4086864283,28153.0671554016,37951.58083798511,6729.683872271453,1839.172151556806,4.204363488248402
52,20511.7130345652_35646.7117303029,20511.7130345652,35646.7117303029,28155.016390235367,37684.861697763576,7643.303355670167,2038.1499674606748,3.783162323831874
53,21629.214291797598_35764.85068822235,21629.214291797598,35764.85068822235,28155.094985713054,37956.27922753035,6525.8806939154565,2191.428539307999,1.7902649451174193
54,21536.243623284878_35830.2755088064,21536.243623284878,35830.2755088064,28156.877342215557,37960.33119338822,6620.63371893068,2130.055684581821,2.8388777515936248
55,20825.34538006325_35582.166728622,20825.34538006325,35582.166728622,28157.59712302794,37682.73238053099,7332.2517429646905,2100.56565190899,2.6097422139004793
56,20951.721338627325_35830.267920748025,20951.721338627325,35830.267920748025,28158.78167002713,37678.910694181344,7207.0603313998035,1848.6427734333192,2.6492723966111362
57,20812.426450368977_36136.284418538875,20812.426450368977,36136.284418538875,28165.50503527078,37669.863286313295,7353.078584901803,1533.5788677744204,4.616103132292343
58,21593.238444513823_36094.49570137248,21593.238444513823,36094.49570137248,28205.225109576808,37646.49132476709,6611.986665062985,1551.995623394614,6.112043783106643
59,20788.722263440875_35417.89614299485,20788.722263440875,35417.89614299485,28209.428454761484,37644.03890922354,7420.706191320609,2226.142766228695,1.002831721719066
60,21080.992966782826_35675.709130080526,21080.992966782826,35675.709130080526,28213.653950006257,37641.57252671762,7132.660983223432,1965.8633966370908,2.9621404289818494
61,21536.588298421848_35842.4872170998,21536.588298421848,35842.4872170998,28217.901595311134,37639.0921772493,6681.313296889286,1796.6049601495033,1.6066763596683926
62,21607.553531064674_35922.55613235,21607.553531064674,35922.55613235,28222.144319925665,37636.62174466272,6614.590788860991,1714.0656123127192,6.080998263371486
63,21277.293823727025_36194.2346810852,21277.293823727025,36194.2346810852,28226.38212384985,37634.161228957855,6949.088300122825,1439.926547872652,2.913651810384873
64,21514.45195552775_35957.4593208086,21514.45195552775,35957.4593208086,28227.383621646804,37776.58700272323,6712.931666119053,1819.1276819146296,3.8158774541539744
65,21301.169281219853_35597.9433139161,21301.169281219853,35597.9433139161,28230.66914866658,37631.63913564217,6929.499867446728,2033.695821726069,5.959058334752176
66,21354.724202303776_36149.0583066179,21354.724202303776,36149.0583066179,28235.00539437586,37629.05546471564,6880.281192072085,1479.9971580977362,4.890482391019399
67,20832.558043031626_35416.422450766506,20832.558043031626,35416.422450766506,28238.68127821711,37626.858546739546,7406.123235185485,2210.43609597304,5.428533280071679
68,21198.14211329335_36146.347614170154,21198.14211329335,36146.347614170154,28241.69680019033,37625.04838171387,7043.55468689698,1478.7007675437126,5.996901192338071
69,21580.36643622935_36018.9549791132,21580.36643622935,36018.9549791132,28244.712322163556,37623.23821668819,6664.345885934206,1604.2832375749858,0.6476370378545914
70,20709.2345048062_36423.119608173125,20709.2345048062,36423.119608173125,28247.718001179426,37621.442610117236,7538.483496373225,1198.3230019441107,5.919662827124132
71,20585.329997363126_36438.0577659543,20585.329997363126,36438.0577659543,28248.141930693728,37817.213330615225,7662.811933330602,1379.1555646609268,0.19370415914488692
72,21030.3222555694_36219.92046787018,21030.3222555694,36219.92046787018,28250.71383723794,37619.661562001,7220.39158166854,1399.741094130819,2.148914497300481
73,20726.5573790093_36285.85049388177,20726.5573790093,36285.85049388177,28250.863769810327,37821.298532738685,7524.306390801026,1535.4480388569136,2.6991025047383044
74,20792.146196827947_35414.81054303275,20792.146196827947,35414.81054303275,28253.709673296464,37617.88051388476,7461.5634764685165,2203.0699708520115,1.6794068365505348
75,21533.41374941055_35684.852972025124,21533.41374941055,35684.852972025124,28253.870263251665,37825.04264508272,6720.456513841116,2140.1896730575972,3.532876596143721
76,20888.55768980095_35416.67038698205,20888.55768980095,35416.67038698205,28257.16141101774,37828.44566764732,7368.60372121679,2411.7752806652716,5.6459467320554975
77,21475.535993072997_36142.91096402085,21475.535993072997,36142.91096402085,28257.353569376664,37615.7378344497,6781.817576303667,1472.8268704288494,1.7891916298512192
78,20830.92570503973_35546.782016109675,20830.92570503973,35546.782016109675,28260.452558783814,37831.84869021191,7429.526853744086,2285.066674102236,1.1901496543098593
79,21481.054352647076_35972.284445228775,21481.054352647076,35972.284445228775,28261.645525478547,37613.2335236958,6780.591172831471,1640.949078467027,4.5397383290588635
80,21547.35160436855_36102.45342153303,21547.35160436855,36102.45342153303,28264.253952980984,37833.24900992466,6716.902348612435,1730.7955883916293,2.749309619799274
81,20946.010865128475_35114.21100332747,20946.010865128475,35114.21100332747,28281.493101167256,37867.98783259337,7335.482236038781,2753.776829265895,3.136724974134744
82,20926.544234452675_36169.21216275265,20926.544234452675,36169.21216275265,28284.136193684524,37872.20007724415,7357.59195923185,1702.987914491503,0.511220521400504
83,20565.067283190325_36459.819658769724,20565.067283190325,36459.819658769724,28298.315547559458,37893.861485935,7733.248264369133,1434.0418271652743,3.412663499109404
84,21158.190810770924_35712.058681124705,21158.190810770924,35712.058681124705,28300.30730280961,37896.86870203217,7142.116492038687,2184.810020907462,2.6760742735548857
85,21313.979575572124_36271.68489036988,21313.979575572124,36271.68489036988,28300.3239876144,37646.109300619835,6986.3444120422755,1374.4244102499579,4.3378139668654905
86,21473.314949036252_36152.64906688115,21473.314949036252,36152.64906688115,28300.852283939843,37642.72514340728,6827.537334903591,1490.0760765261293,3.868620291100375
87,20619.204002005776_35473.369068048894,20619.204002005776,35473.369068048894,28301.882610519824,37649.340332020976,7682.678608514048,2175.971263972082,3.8373540823568586
88,20811.8798947871_35651.79171043052,20811.8798947871,35651.79171043052,28302.29905805976,37899.87591812933,7490.4191632726615,2248.0842076988047,3.896642971292465
89,21732.2968777363_35741.837202602226,21732.2968777363,35741.837202602226,28303.441233425245,37652.5713634221,6571.144355688946,1910.7341608198767,1.9066479465666386
90,21537.390649541074_35964.0419533854,21537.390649541074,35964.0419533854,28304.07260643835,37902.506066366914,6766.681956897275,1938.4641129815136,1.4293975451848662
91,21315.322367812303_35758.9886255509,21315.322367812303,35758.9886255509,28305.62794794537,37904.75914674491,6990.3055801330665,2145.770521194012,2.394508656952156
92,21188.459659760574_35830.6021686436,21188.459659760574,35830.6021686436,28307.557358444617,37908.17670407444,7119.097698684043,2077.5745354308383,5.715736990753827
93,21146.078514280325_36296.05802136123,21146.078514280325,36296.05802136123,28309.860837936092,37912.75873835549,7163.782323655767,1616.7007169942663,1.2471746280387566
94,21043.80037912165_35673.47222929873,21043.80037912165,35673.47222929873,28314.36719512608,37665.83742626915,7270.56681600443,1992.3651969704224,1.5990261944773252
95,21394.354747268673_35624.21164049235,21394.354747268673,35624.21164049235,28107.13923359028,37751.30262345776,6712.784486321605,2127.090982965412,5.90995831827026
