id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,21705.1830773511_35984.28630369062,21705.1830773511,35984.28630369062,28543.246138004208,37609.82749591819,6838.063060653109,1625.541192227567,0.01801076902351184
1,21705.1830773511_35984.28630369062,21705.1830773511,35984.28630369062,28546.30272784154,37613.97382022168,6841.11965049044,1629.687516531063,0.06633930926147258
2,21339.564596618275_35466.7600107626,21339.564596618275,35466.7600107626,28549.327324770617,37618.140104846025,7209.762728152342,2151.3800940834262,0.027978512848710668
3,21328.421104954432_35286.91148815492,21328.421104954432,35286.91148815492,28552.319928791436,37622.3263497912,7223.898823837004,2335.41486163628,0.07931457598995535
4,21060.084549457948_35872.63411869182,21060.084549457948,35872.63411869182,28571.31743603146,37631.07759959185,7511.232886573511,1758.4434809000304,-0.013129211846009348
5,20560.63399221445_35709.06848168118,20560.63399221445,35709.06848168118,28575.36994392022,37628.62873843309,8014.73595170577,1919.5602567519163,-0.06806225901458199
6,21328.421104954432_35286.91148815492,21328.421104954432,35286.91148815492,28579.422451808983,37626.179877274335,7251.001346854551,2339.2683891194174,0.04316867554568734
7,21328.421104954432_35286.91148815492,21328.421104954432,35286.91148815492,28583.64149111902,37623.79398447192,7255.220386164587,2336.8824963170046,0.09747829798712347
8,21072.803218189874_35539.83628159257,21072.803218189874,35539.83628159257,28588.02706185032,37621.47106002584,7515.223843660446,2081.6347784332684,0.12117837696079459
9,21525.29238608275_35632.863766121474,21525.29238608275,35632.863766121474,28592.285479922095,37619.46325146545,7066.9930938393445,1986.599485343977,0.4001052397334049
10,21281.522628236075_36007.782027443325,21281.522628236075,36007.782027443325,28596.416745334333,37617.77055879073,7314.894117098258,1609.9885313474078,0.010893488709384537
11,21525.29238608275_35632.863766121474,21525.29238608275,35632.863766121474,28600.548010746577,37616.077866116015,7075.255624663827,1983.2140999945404,0.40135784865754137
12,20560.63399221445_35709.06848168118,20560.63399221445,35709.06848168118,28604.99347015438,37614.50396569345,8044.359477939928,1905.435484012276,0.039106164739234936
13,21219.042684929052_35821.3291636255,21219.042684929052,35821.3291636255,28609.753123557744,37613.048857523056,7390.710438628692,1791.719693897554,-0.021050433436320234
14,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28635.035421051114,37606.65052865136,7065.460272404787,1887.1296606622782,-0.10158431735407625
15,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28639.84922651667,37605.479830474564,7070.274077870345,1885.9589624854852,-0.09685634817496425
16,21600.823103576302_35708.143098272354,21600.823103576302,35708.143098272354,28644.57689701401,37604.2681103716,7043.753793437707,1896.1250120992481,-0.17884091505965838
17,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28649.21843254312,37603.015368342494,7052.39345168402,1892.60102253878,-0.16386197829073712
18,21046.77581245453_35147.96330416985,21046.77581245453,35147.96330416985,28672.618892701797,37605.33953150032,7625.8430802472685,2457.3762273304746,0.2840409955541454
19,21046.77581245453_35147.96330416985,21046.77581245453,35147.96330416985,28673.74113970832,37602.28813565591,7626.965327253791,2454.324831486061,0.2721255961317197
20,21043.745854957524_35174.24443318463,21043.745854957524,35174.24443318463,28674.00363256027,37609.78418637067,7630.2577776027465,2435.5397531860435,0.08031402184668424
21,21043.745854957524_35174.24443318463,21043.745854957524,35174.24443318463,28675.388372418744,37614.22884124102,7631.6425174612195,2439.9844080563926,0.02457269836557696
22,21042.019206661775_35180.09347516787,21042.019206661775,35180.09347516787,28676.570485427215,37618.83878311957,7634.551278765441,2438.7453079517,0.10377255277359954
23,21046.77581245453_35147.96330416985,21046.77581245453,35147.96330416985,28677.370373579834,37600.62999883742,7630.594561125305,2452.666694667576,0.08986734316939549
24,21040.919805305173_35185.61081750832,21040.919805305173,35185.61081750832,28677.54997158569,37623.61401200634,7636.630166280516,2438.003194498022,0.1740193332088784
25,21040.447650887727_35190.79646020598,21040.447650887727,35190.79646020598,28678.807556675252,37628.34413627276,7638.359905787525,2437.5476760667807,0.220417770369135
26,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28680.34324069591,37633.02915591885,6823.059126127133,1891.2560505041474,-0.8648051437005073
27,21046.77581245453_35147.96330416985,21046.77581245453,35147.96330416985,28680.999607451347,37598.97186201894,7634.2237949968185,2451.0085578490907,-0.0897225358774576
28,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28681.810017097803,37637.04166491602,6824.525902529025,1895.2685595013172,-0.49554894265951255
29,21112.89774195075_35186.5944881701,21112.89774195075,35186.5944881701,28683.207885880936,37640.38166326427,7570.310143930186,2453.7871750941704,0.06461807919833577
30,20810.183227599176_36139.86800578697,20810.183227599176,36139.86800578697,28684.505789359013,37597.56883887087,7874.322561759836,1457.7008330839017,0.19203002108028677
31,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28684.60575466407,37643.72166161254,6827.3216400952915,1901.9485561978363,-0.4185319861581942
32,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28686.289104141066,37647.64394987958,6829.004989572288,1905.87084446488,-0.3048887236498401
33,20977.65088366762_35922.23235239787,20977.65088366762,35922.23235239787,28687.888919302823,37596.42092939322,7710.238035635204,1674.1885769953515,-0.20590180597080732
34,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28688.25793431193,37652.14852806543,6830.973819743151,1910.37542265073,-0.34049940373282706
35,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28690.226765041152,37656.52656817403,6832.942650472374,1914.7534627593268,-0.22553672953101933
36,20977.65088366762_35922.23235239787,20977.65088366762,35922.23235239787,28691.27204924664,37595.27301991557,7713.621165579021,1673.0406675177,-0.2180739636863107
37,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28692.19559632874,37660.778070205386,6834.911481759962,1919.0049647906853,-0.23355620697523438
38,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28694.164427616324,37665.029572236745,6836.880313047546,1923.2564668220439,-0.1167063899002887
39,20977.65088366762_35922.23235239787,20977.65088366762,35922.23235239787,28694.709323222065,37594.26320170397,7717.0584395544465,1672.030849306102,-0.22438845308815836
40,21857.284114568778_35741.7731054147,21857.284114568778,35741.7731054147,28696.258772487803,37669.43457573422,6838.974657919025,1927.6614703195228,-0.004976453635997746
41,20977.65088366762_35922.23235239787,20977.65088366762,35922.23235239787,28698.200741229106,37593.391474758435,7720.549857561487,1671.1591223605647,-0.2228774570315557
42,21859.906545489124_35747.1313265361,21859.906545489124,35747.1313265361,28698.478630943177,37673.99308069783,6838.572085454052,1926.8617541617277,0.002929971546676624
43,21869.782720606334_35723.043077457434,21869.782720606334,35723.043077457434,28700.782165841345,37678.42653871104,6830.999445235011,1955.3834612536084,-0.044022284025254876
44,20977.65088366762_35922.23235239787,20977.65088366762,35922.23235239787,28701.692159236147,37592.51974781288,7724.041275568528,1670.2873954150127,-0.2199558262836101
