id,residential_gfa,commercial_gfa,civic_gfa,other_gfa,site_coverage,max_height
kml_87680,168267.487915,84133.74395766814,0,0,0.7,100
kml_89509,42309.0281221,21154.514061047907,0,0,0.7,100
