id,perceptionId,originX,originY,destinationX,destinationY,translationX,translationY,rotationCCW
0,20498.17389797465_36421.911447703955,20498.17389797465,36421.911447703955,28070.915598218293,37720.72528856654,7572.741700243641,1298.8138408625819,0.0
1,20408.559092799616_35628.61268714663,20408.559092799616,35628.61268714663,28049.549635709325,37731.24971355681,7640.990542909709,2102.637026410179,0.0
2,21054.476103394052_35870.49149174187,21054.476103394052,35870.49149174187,28086.515549711454,37798.45417008171,7032.039446317402,1927.9626783398417,0.0
3,21025.615133804575_35873.43828151088,21025.615133804575,35873.43828151088,28119.00751128009,37873.07676392737,7093.392377475517,1999.6384824164925,0.0
4,21054.476103394052_35870.49149174187,21054.476103394052,35870.49149174187,28145.782718172897,37934.51273859785,7091.306614778845,2064.0212468559766,0.0
5,20692.16051866525_36210.127133479175,20692.16051866525,36210.127133479175,28194.815207543004,37629.40089651233,7502.654688877756,1419.273763033154,0.0
6,20535.338039485723_35709.08454611603,20535.338039485723,35709.08454611603,28268.565593609244,37832.64662678556,7733.227554123521,2123.5620806695297,0.0
7,20535.338039485723_35709.08454611603,20535.338039485723,35709.08454611603,28308.994587690402,37897.60924992454,7773.656548204679,2188.5247038085145,0.0
8,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28118.124100730536,37705.08818031293,6545.897068328162,1981.126512879302,0.0
9,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28158.78167002713,37678.910694181344,6586.554637624755,1954.9490267477158,0.0
10,21572.227032402374_35723.96166743363,21572.227032402374,35723.96166743363,28241.69680019033,37625.04838171387,6669.469767787956,1901.086714280238,0.0
11,21625.778516118524_35795.89630768007,21625.778516118524,35795.89630768007,28227.383621646804,37776.58700272323,6601.605105528281,1980.6906950431585,0.0
12,21569.575148646327_35719.52086798908,21569.575148646327,35719.52086798908,28281.493101167256,37867.98783259337,6711.917952520929,2148.4669646042894,0.0
13,21596.8249808591_35710.414345803714,21596.8249808591,35710.414345803714,28315.381967930552,37645.10333221923,6718.5569870714535,1934.6889864155164,3.141592653589793
14,20498.17389797465_36421.911447703955,20498.17389797465,36421.911447703955,28201.18880173698,37810.16106460366,7703.014903762327,1388.2496168997022,0.0
15,20470.5857319992_36424.60674511608,20470.5857319992,36424.60674511608,28184.867027648506,37798.30571251709,7714.281295649307,1373.698967401011,0.0
16,20418.944578321443_35568.958452552324,20418.944578321443,35568.958452552324,28077.38805706817,37754.16778684631,7658.443478746725,2185.2093342939843,0.0
